"id","region","subregion","section","cell","CellID","intersections","radius"
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",8,3
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",10,4
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",19,5
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",19,6
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",23,7
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",23,8
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",27,9
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",27,10
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",31,11
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",26,12
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",25,13
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",22,14
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",24,15
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",18,16
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",15,17
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",20,18
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",19,19
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",17,20
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",19,21
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",24,22
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",16,23
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",10,24
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",8,25
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",7,26
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",7,27
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",7,28
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",5,29
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",1,30
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",2,31
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",1,32
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",1,33
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",1,34
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",1,35
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",2,36
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",2,37
"21-32-07","HPC","CA1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv",0,38
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",0,0
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",0,1
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",0,2
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",0,3
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",12,4
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",15,5
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",18,6
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",19,7
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",21,8
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",19,9
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",23,10
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",21,11
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",22,12
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",24,13
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",22,14
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",19,15
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",15,16
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",15,17
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",16,18
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",12,19
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",7,20
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",7,21
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",6,22
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",8,23
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",6,24
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",8,25
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",4,26
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",2,27
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",1,28
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",1,29
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",2,30
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",1,31
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",1,32
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",2,33
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",9,34
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",4,35
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",4,36
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",2,37
"21-32-07","HPC","CA1","1","c3","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_3_Statistics/21-32-07_100x_CA1_c3_Detailed.csv",0,38
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",0,0
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",0,1
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",0,2
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",2,3
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",10,4
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",11,5
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",7,6
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,7
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",7,8
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",9,9
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",14,10
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",11,11
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",10,12
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,13
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",9,14
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",5,15
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",6,16
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,17
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",9,18
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,19
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,20
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",7,21
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,22
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",7,23
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",8,24
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",4,25
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",3,26
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",3,27
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",3,28
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",2,29
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",1,30
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",1,31
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",1,32
"21-32-07","HPC","DG1","1","c1","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv",0,33
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",0,0
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",0,1
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",2,2
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",3,3
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",7,4
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",12,5
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",11,6
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",17,7
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",17,8
"21-32-07","HPC","DG1","1","c2","projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_2_Statistics/21-32-07_100x_DG1_c2_Detailed.csv",15,9
