filename,intersections,radius
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,0
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,1,1
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,2,2
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,5,3
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,6,4
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,7,5
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,7,6
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,9,7
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,20,8
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,12,9
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,8,10
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,9,11
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,10,12
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,15,13
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,20,14
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,17,15
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,16,16
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,15,17
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,13,18
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,11,19
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,12,20
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,13,21
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,12,22
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,9,23
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,10,24
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,8,25
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,7,26
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,9,27
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,9,28
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,7,29
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,8,30
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,9,31
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,7,32
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,6,33
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,4,34
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,3,35
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,3,36
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,2,37
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,2,38
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,1,39
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,40
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,0
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,1
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,2
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,3
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,4,4
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,2,5
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,3,6
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,4,7
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,3,8
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,3,9
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,2,10
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,2,11
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,1,12
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_VS1_3_Statistics/21-32-07_100x_VS1_c3_Detailed.csv,0,13
