filename,intersections,radius
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,0,0
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,0,1
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,2,2
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,7,3
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,11,4
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,16,5
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,15,6
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,18,7
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,19,8
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,20,9
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,22,10
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,21,11
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,20,12
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,18,13
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,19,14
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,25,15
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,31,16
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,28,17
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,20,18
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,12,19
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,12,20
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,10,21
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,8,22
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,7,23
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,8,24
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,4,25
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,6,26
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,5,27
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,4,28
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,3,29
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,4,30
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,3,31
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,4,32
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,2,33
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS1_1_Statistics/21-32-07_100x_DS1_c1_Detailed.csv,0,34
