filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,0,2
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,1,3
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,9,4
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,14,5
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,16,6
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,17,7
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,23,8
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,27,9
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,20,10
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,19,11
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,19,12
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,15,13
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,16,14
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,30,15
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,38,16
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,25,17
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,28,18
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,16,19
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,17,20
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,15,21
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,9,22
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,6,23
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,7,24
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,4,25
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,2,26
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,3,27
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,3,28
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,1,29
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,1,30
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_1_Statistics/21-32-07_100x_CA1_c1_Detailed.csv,0,31
