filename,intersections,radius
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,0,0
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,0,1
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,0,2
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,2,3
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,3,4
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,3,5
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,5,6
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,8,7
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,9,8
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,7,9
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,7,10
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,5,11
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,6,12
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,6,13
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,7,14
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,5,15
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,7,16
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,8,17
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,7,18
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,6,19
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,4,20
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,4,21
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,5,22
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,3,23
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,4,24
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,2,25
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,1,26
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,1,27
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DS2_3_Statistics/21-32-07_100x_DS2_c3_Detailed.csv,0,28
