filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,10,31
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,10,32
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,11,33
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,8,34
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,9,35
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,11,36
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,8,37
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,5,38
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,6,39
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,1,40
data/240521_MG/21-32-07/Imaris/21-32-07_100X_VS2_c1_Statistics/21-32-07_100X_VS2_c1_Detailed.csv,0,41
