filename,intersections,radius
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,0,0
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,0,1
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,0,2
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,2,3
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,10,4
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,11,5
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,7,6
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,7
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,7,8
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,9,9
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,14,10
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,11,11
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,10,12
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,13
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,9,14
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,5,15
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,6,16
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,17
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,9,18
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,19
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,20
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,7,21
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,22
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,7,23
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,8,24
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,4,25
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,3,26
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,3,27
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,3,28
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,2,29
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,1,30
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,1,31
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,1,32
projects/data/240521_MG/21-32-07/Imaris/21-32-07_100x_DG1_1_Statistics/21-32-07_100x_DG1_c1_Detailed.csv,0,33
