filename,intersections,radius
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,0,0
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,0,1
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,0,2
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,8,3
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,10,4
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,19,5
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,19,6
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,23,7
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,23,8
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,27,9
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,27,10
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,31,11
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,26,12
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,25,13
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,22,14
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,24,15
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,18,16
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,15,17
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,20,18
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,19,19
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,17,20
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,19,21
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,24,22
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,16,23
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,10,24
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,8,25
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,7,26
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,7,27
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,7,28
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,5,29
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,1,30
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,2,31
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,1,32
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,1,33
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,1,34
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,1,35
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,2,36
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,2,37
data/240521_MG/21-32-07/Imaris/21-32-07_100x_CA1_2_Statistics/21-32-07_100x_CA1_c2_Detailed.csv,0,38
